beer_id,brewer,beer_name,abv
1,Rahr &amp; Sons Brewing Company,Stormcloud IPA,6
2,Matt Brewing Company / Saranac Brewery,Saranac Legacy IPA,6.5
3,Matt Brewing Company / Saranac Brewery,Saranac Rye IPA,5.95
4,Matt Brewing Company / Saranac Brewery,Saranac India Pale Ale,5.8
5,Zero Gravity Craft Brewery / American Flatbread,Conehead IPA,5.7
6,Short's Brewing Company,Hopstache,6.8
7,Short's Brewing Company,Freedom Of 78,7
8,Short's Brewing Company,ControversiALE,6.5
9,Short's Brewing Company,Shorts Huma Lupa Licious India Pale Ale,7.7
10,Magic Hat Brewing Company,HiPA,6.7
11,Magic Hat Brewing Company,Ticket To Rye IPA,7.1
12,Magic Hat Brewing Company,Encore,6.4
13,Magic Hat Brewing Company,Lucky Kat,5.8
14,Magic Hat Brewing Company,Electric Peel Grapefruit IPA,6
15,Long Trail Brewing Co.,Green Blaze IPA,6.5
16,No-Li Brewhouse,Born amp Raised IPA,7
17,Ska Brewing Co.,Modus Hoperandi,6.8
18,Ska Brewing Co.,Modus Mandarina,6.8
19,Heavy Seas Beer,Loose Cannon,7.25
20,Heavy Seas Beer,TropiCannon Citrus IPA,7.25
21,Heavy Seas Beer,CrossBones Session IPA,4.5
22,Moylan's Brewery,India Pale Ale,6.5
23,Atlanta Brewing Company,Red Brick Hoplanta,6.7
24,Russian River Brewing Company,Happy Hops,6.5
25,Russian River Brewing Company,Blind Pig IPA,6.25
26,Widmer Brothers Brewing Company,ORyely IPA,6.4
27,Widmer Brothers Brewing Company,Falconers IPA,7
28,Widmer Brothers Brewing Company,Upheaval IPA,7
29,Tyranena Brewing Company,Bitter Woman India Pale Ale,5.75
30,Tyranena Brewing Company,Scurvy,6.5
31,Olde Hickory Brewery,Death By Hops,7
32,Amsterdam Brewing Company,Amsterdam Boneshaker IPA,7.1
33,Blue Point Brewing Company,Hoptical Illusion,7
34,Blue Point Brewing Company,Mosaic Session IPA,4.8
35,Erie Brewing Co.,Misery Bay IPA,6.5
36,Big Sky Brewing Company,Big Sky IPA,6.2
37,Lancaster Brewing Company,Hop Hog India Pale Ale,7
38,"Lakefront Brewery, Inc.",IPA,6.9
39,21st Amendment Brewery,Brew Free Or Die IPA,7
40,21st Amendment Brewery,Down To Earth Session IPA,4.4
41,Great Lakes Brewing Co.,Rye Of The Tiger,7.5
42,Blitz-Weinhard Brewing Co.,Henry Weinhards Woodland Pass IPA,6
43,Elysian Brewing Company,Savant,6.3
44,Elysian Brewing Company,Avatar Jasmine IPA,6.3
45,Elysian Brewing Company,The Immortal IPA,6.3
46,Elysian Brewing Company,Dayglow IPA,7.4
47,Keegan Ales,Hurricane Kitty,5.5
48,Thomas Hooker Brewing Company,Hop Meadow IPA,6.4
49,Tröegs Brewing Company,Perpetual IPA,7.5
50,Tröegs Brewing Company,First Cut IPA,6.2
51,Tröegs Brewing Company,Blizzard Of Hops,6.4
52,Tröegs Brewing Company,Hop Knife Harvest Ale,6.2
53,Two Brothers Brewing Company,Resistance IPA,6.9
54,Two Brothers Brewing Company,Heavy Handed IPA,6.7
55,Two Brothers Brewing Company,Wobble,6.3
56,Fish Brewing Company / Fishbowl Brewpub,Fish Tale India Pale Ale,6.5
57,Flying Dog Brewery,Easy IPA,4.7
58,Flying Dog Brewery,Bloodline Blood Orange Ale,7
59,Flying Dog Brewery,Snake Dog IPA,7.1
60,Muskoka Brewery,Muskoka Mad Tom IPA,6.4
61,Ithaca Beer Company,Flower Power India Pale Ale,7.2
62,Ithaca Beer Company,Green Trail India Pale Ale,6
63,Dogfish Head Craft Brewery,SixtyOne 61,6.5
64,Dogfish Head Craft Brewery,60 Minute IPA,6
65,Dogfish Head Craft Brewery,ApriHop,7
66,Dogfish Head Craft Brewery,LupuLuau IPA,7.3
67,Dogfish Head Craft Brewery,Liquid Truth Serum,7
68,Dogfish Head Craft Brewery,Flesh amp Blood IPA,7.5
69,Dogfish Head Craft Brewery,Romantic Chemistry,7.2
70,Dogfish Head Craft Brewery,75 Minute IPA,7.5
71,Deschutes Brewery,Pinedrops IPA,6.5
72,Deschutes Brewery,Fresh Squeezed IPA,6.4
73,Deschutes Brewery,Inversion IPA,6.8
74,Deschutes Brewery,Hopzeit Autumn IPA,7
75,Deschutes Brewery,Hop Slice Summer Ale,5
76,Bear Republic Brewing Co.,Hop Rod Rye,8
77,Bear Republic Brewing Co.,Racer 5 India Pale Ale,7.5
78,Bear Republic Brewing Co.,Hop Shovel,7.5
79,Cottrell Brewing Co.,Mystic Bridge IPA,6
80,Church Brew Works,Thunderhop IPA,6
81,The Schlafly Tap Room,Tasmanian IPA TIPA,7.2
82,The Schlafly Tap Room,American IPA,7.2
83,Kona Brewing Co.,Castaway IPA,6
84,Kona Brewing Co.,Hanalei Island IPA,4.5
85,Steinhaus Brewing Co.,Mission St India Pale Ale,6.1
86,Speakeasy Ales &amp; Lagers,Big Daddy IPA,6.5
87,Full Sail Brewing Company,Full Sail IPA,6
88,Full Sail Brewing Company,Wreck The Halls,6.5
89,Tampa Bay Brewing Co.,Old Elephant Foot IPA,7
90,Summit Brewing Company,Sága IPA,6.4
91,The Alchemist,Alena,7.7
92,The Alchemist,Holy Cow,5.1
93,Real Ale Brewing Company,Lost Gold IPA,6.6
94,Yards Brewing Co.,India Pale Ale,7
95,Brooklyn Brewery,Defender IPA,5.5
96,Pabst Brewing Company,Ballantine India Pale Ale,7.2
97,Georgetown Brewing Company,Lucille IPA,7.2
98,Minhas Craft Brewery,Boatswain American IPA,6.7
99,Alaskan Brewing Co.,Alaskan Icy Bay IPA,6.2
100,Boulevard Brewing Co.,PopUp Session IPA,4.3
101,Boulevard Brewing Co.,MidCoast IPA,5.6
102,Boulevard Brewing Co.,SingleWide IPA,5.7
103,Boulevard Brewing Co.,Heavy Lifting India Pale Ale,6.2
104,Brewery Ommegang,Nirvana IPA,6.5
105,Left Hand Brewing Company,Warrior IPA,7.6
106,Karl Strauss Brewing Company,Tower 10 IPA,6.5
107,"Pyramid Breweries, Inc.",Thunderhead IPA,6.7
108,Lord Hobo Brewing Company,Steal This Can,6.5
109,AleSmith Brewing Company,IPA,7.25
110,Weyerbacher Brewing Co.,Last Chance IPA,5.9
